,ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
1553,1095.,Orange Grove Wheat Ale,Brindle Dog Brewing Company,"Tampa Bay, FL",American Pale Wheat Ale,12 oz.,???,N/A
1554,1094.,Grey Lady,Cisco Brewers,"Nantucket, MA",Witbier,12 oz.,4.5%,N/A
1555,1093.,Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,12 oz.,4.2%,24
1556,1092.,Penn Quarter Porter,DC Brau Brewing Company,"Washington, DC",American Porter,12 oz.,5.5%,N/A
1557,1091.,Hans' Pils (2015),Real Ale Brewing Company,"Blanco, TX",German Pilsener,12 oz.,5.3%,52
1558,1090.,Double Bag,Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,16 oz.,7.2%,33
1559,1089.,Hop Notch IPA (2013),Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,7.3%,82
1560,1088.,Cutthroat Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.0%,34
1561,1087.,Side Kick Kölsch,Peace Tree Brewing Company,"Knoxville, IA",Kölsch,12 oz.,5.0%,N/A
1562,1086.,Four Squared (2015),Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,6.0%,50
1563,1085.,Rise-Up Red (2014),Hopworks Urban Brewery,"Portland, OR",American Amber / Red Ale,16 oz.,5.8%,60
1564,1082.,RecreationAle,Terrapin Brewing Company,"Athens, GA",American Pale Ale (APA),12 oz.,4.7%,42
1565,1081.,Occidental Kölsch,Occidental Brewing Company,"Portland, OR",Kölsch,16 oz.,4.5%,N/A
1566,1080.,Hop Happy,Milwaukee Brewing Company,"Milwaukee, WI",American IPA,16 oz.,7.5%,51
1567,1079.,Ozzy,The Brewer's Art,"Baltimore, MD",Belgian Pale Ale,12 oz.,7.3%,N/A
1568,1078.,Schlafly IPA,Schlafly Brewing Company,"Saint Louis, MO",American IPA,12 oz.,4.5%,30
1569,1077.,Schlafly American Brown Ale,Schlafly Brewing Company,"Saint Louis, MO",American Brown Ale,12 oz.,5.0%,30
1570,1076.,Power House Porter,Sockeye Brewing Company,"Boise, ID",American Porter,12 oz.,5.7%,N/A
1571,1075.,Stout Ol' Friend (2012),Revolution Brewing,"Paonia, CO",American Stout,16 oz.,6.4%,N/A
1572,1073.,Epicenter Amber Ale,SanTan Brewing Company,"Chandler, AZ",American Amber / Red Ale,12 oz.,5.5%,20
1573,1072.,SanTan HefeWeizen,SanTan Brewing Company,"Chandler, AZ",Hefeweizen,12 oz.,5.0%,15
1574,1071.,Hop Shock IPA,SanTan Brewing Company,"Chandler, AZ",American IPA,12 oz.,7.0%,85
1575,1070.,Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.6%,18
1576,1069.,West Sixth Amber Ale,West Sixth Brewing,"Lexington, KY",American Amber / Red Ale,12 oz.,5.5%,N/A
1577,1068.,Barn Burner Saison,Karbach Brewing Company,"Houston, TX",Saison / Farmhouse Ale,12 oz.,6.6%,20
1578,1067.,Disconnected Red,Big Choice Brewing,"Broomfield, CO",American Amber / Red Ale,16 oz.,6.7%,85
1579,1066.,Akari Shogun American Wheat Ale,Half Acre Beer Company,"Chicago, IL",American Pale Wheat Ale,16 oz.,5.5%,N/A
1580,1065.,Dale's Pale Ale,Oskar Blues Brewery (North Carol...,"Brevard, NC",American Pale Ale (APA),12 oz.,6.5%,65
1581,1064.,Owney Irish Style Red Ale,Great River Brewery,"Davenport, IA",Irish Red Ale,16 oz.,5.0%,30
1582,1063.,Vanilla Bean Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Oatmeal Stout,16 oz.,5.0%,20
1583,1062.,Pete's ESP Lager (1998),Pete's Brewing Company,"San Antonio, TX",American Pale Lager,12 oz.,5.1%,N/A
1584,1061.,Pete's Wicked Summer Brew (1995),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.7%,N/A
1585,1060.,Pete's Wicked Bohemian Pilsner (1997),Pete's Brewing Company,"San Antonio, TX",Czech Pilsener,12 oz.,4.9%,N/A
1586,1059.,The Hole in Hadrian's Wall,Okoboji Brewing Company,"Spirit Lake, IA",Scottish Ale,16 oz.,9.5%,19
1587,1058.,33 Select Brown Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Brown Ale,16 oz.,6.5%,26
1588,1057.,South Ridge Amber Ale,Crystal Springs Brewing Company,"Boulder, CO",American Amber / Red Ale,16 oz.,6.0%,31
1589,1056.,Pete's Wicked Pale Ale (1997),Pete's Brewing Company,"San Antonio, TX",American Pale Ale (APA),12 oz.,???,N/A
1590,1055.,Pete's Wicked Summer Brew (2002),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.7%,N/A
1591,1054.,Pete's Wicked Summer Brew (1997),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.7%,N/A
1592,1053.,Pete's Wicked Summer Brew (1996),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.7%,N/A
1593,1052.,Honey Wheat,Morgan Street Brewery,"Saint Louis, MO",American Pale Wheat Ale,12 oz.,4.7%,14
1594,1051.,Black Bear Dark Lager,Morgan Street Brewery,"Saint Louis, MO",Schwarzbier,12 oz.,4.6%,24
1595,1050.,The Lawn Ranger,Cedar Creek Brewery,"Seven Points, TX",Cream Ale,16 oz.,5.0%,18
1596,1049.,Bourbon Barrel Johan,Sun King Brewing Company,"Indianapolis, IN",English Barleywine,16 oz. Alumi-Tek®	,9.9%,60
1597,1048.,Outlaw IPA,Payette Brewing Company,"Garden City, ID",American IPA,12 oz.,6.2%,65
1598,1047.,Back in the Saddle Rye Pale Ale,Mavericks Beer Company,"Half Moon Bay, CA",American Pale Ale (APA),12 oz.,3.7%,53
1599,1046.,Golden Pilsner,Morgan Street Brewery,"Saint Louis, MO",German Pilsener,12 oz.,5.0%,35
