,ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
0,2692.,Get Together,NorthGate Brewing ,"Minneapolis, MN",American IPA,16 oz.,4.5%,50
1,2691.,Maggie's Leap,NorthGate Brewing ,"Minneapolis, MN",Milk / Sweet Stout,16 oz.,4.9%,26
2,2690.,Wall's End,NorthGate Brewing ,"Minneapolis, MN",English Brown Ale,16 oz.,4.8%,19
3,2689.,Pumpion,NorthGate Brewing ,"Minneapolis, MN",Pumpkin Ale,16 oz.,6.0%,38
4,2688.,Stronghold,NorthGate Brewing ,"Minneapolis, MN",American Porter,16 oz.,6.0%,25
5,2687.,Parapet ESB,NorthGate Brewing ,"Minneapolis, MN",Extra Special / Strong Bitter (ESB),16 oz.,5.6%,47
6,2686.,Citra Ass Down,Against the Grain Brewery,"Louisville, KY",American Double / Imperial IPA,16 oz.,8.0%,68
7,2685.,London Balling,Against the Grain Brewery,"Louisville, KY",English Barleywine,16 oz.,12.5%,80
8,2684.,35 K,Against the Grain Brewery,"Louisville, KY",Milk / Sweet Stout,16 oz.,7.7%,25
9,2683.,A Beer,Against the Grain Brewery,"Louisville, KY",American Pale Ale (APA),16 oz.,4.2%,42
10,2682.,Rules are Rules,Against the Grain Brewery,"Louisville, KY",German Pilsener,16 oz.,5.0%,25
11,2681.,Flesh Gourd'n,Against the Grain Brewery,"Louisville, KY",Pumpkin Ale,16 oz.,6.6%,21
12,2680.,Sho'nuff,Against the Grain Brewery,"Louisville, KY",Belgian Pale Ale,16 oz.,4.0%,13
13,2679.,Bloody Show,Against the Grain Brewery,"Louisville, KY",American Pilsner,16 oz.,5.5%,17
14,2678.,Rico Sauvin,Against the Grain Brewery,"Louisville, KY",American Double / Imperial IPA,16 oz.,7.6%,68
15,2677.,Coq de la Marche,Against the Grain Brewery,"Louisville, KY",Saison / Farmhouse Ale,16 oz.,5.1%,38
16,2676.,Kamen Knuddeln,Against the Grain Brewery,"Louisville, KY",American Wild Ale,16 oz.,6.5%,N/A
17,2675.,Pile of Face,Against the Grain Brewery,"Louisville, KY",American IPA,16 oz.,6.0%,65
18,2674.,The Brown Note,Against the Grain Brewery,"Louisville, KY",English Brown Ale,16 oz.,5.0%,20
19,2673.,House Lager,Jack's Abby Craft Lagers,"Framingham, MA",Keller Bier / Zwickel Bier,16 oz.,5.2%,18
20,2672.,Leisure Time,Jack's Abby Craft Lagers,"Framingham, MA",American Pale Lager,12 oz. ,4.8%,15
21,2671.,Excess IPL,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,16 oz.,7.2%,80
22,2670.,Hoponius Union,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,6.7%,65
23,2669.,Calyptra,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,4.9%,45
24,2668.,Habitus (2014),Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.0%,100
25,2667.,Solis,Mike Hess Brewing Company,"San Diego, CA",American IPA,16 oz.,7.5%,85
26,2666.,Jucundus,Mike Hess Brewing Company,"San Diego, CA",Wheat Ale,16 oz.,6.0%,24
27,2664.,Habitus,Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.0%,100
28,2663.,Grazias,Mike Hess Brewing Company,"San Diego, CA",Cream Ale,16 oz.,6.3%,30
29,2662.,Claritas,Mike Hess Brewing Company,"San Diego, CA",Kölsch,16 oz.,5.8%,28
30,2661.,Park,Fort Point Beer Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.7%,19
31,2660.,Westfalia,Fort Point Beer Company,"San Francisco, CA",American Amber / Red Ale,12 oz.,5.6%,16
32,2659.,KSA,Fort Point Beer Company,"San Francisco, CA",Kölsch,12 oz.,4.6%,17
33,2658.,Villager,Fort Point Beer Company,"San Francisco, CA",American IPA,12 oz.,6.3%,42
34,2657.,Blackbeard,COAST Brewing Company,"Charleston, SC",American Double / Imperial Stout,12 oz.,9.3%,N/A
35,2656.,Rye Knot,COAST Brewing Company,"Charleston, SC",American Brown Ale,12 oz.,6.2%,N/A
36,2655.,Dead Arm,COAST Brewing Company,"Charleston, SC",American Pale Ale (APA),12 oz.,6.0%,N/A
37,2654.,32°/50° Kölsch ,COAST Brewing Company,"Charleston, SC",Kölsch,16 oz.,4.8%,N/A
38,2653.,HopArt,COAST Brewing Company,"Charleston, SC",American IPA,16 oz.,7.7%,N/A
39,2652.,Boy King,COAST Brewing Company,"Charleston, SC",American Double / Imperial IPA,16 oz.,9.7%,N/A
40,2650.,Denver Pale Ale (Artist Series No. 1),Great Divide Brewing Company,"Denver, CO",American Pale Ale (APA),12 oz.,5.0%,N/A
41,2649.,Hibernation Ale,Great Divide Brewing Company,"Denver, CO",Old Ale,12 oz.,8.7%,N/A
42,2648.,Whitewater,Great Divide Brewing Company,"Denver, CO",American Pale Wheat Ale,12 oz.,6.1%,N/A
43,2647.,Rumble,Great Divide Brewing Company,"Denver, CO",American IPA,12 oz.,7.1%,N/A
44,2646.,Orabelle,Great Divide Brewing Company,"Denver, CO",Tripel,12 oz.,8.3%,N/A
45,2645.,Lasso,Great Divide Brewing Company,"Denver, CO",American IPA,12 oz.,5.0%,N/A
46,2644.,Yeti  Imperial Stout,Great Divide Brewing Company,"Denver, CO",Russian Imperial Stout,12 oz.,9.5%,75
47,2643.,Colette,Great Divide Brewing Company,"Denver, CO",Saison / Farmhouse Ale,12 oz.,7.3%,N/A
48,2642.,Titan IPA,Great Divide Brewing Company,"Denver, CO",American IPA,12 oz.,7.1%,N/A
49,2640.,Peck's Porter,Tapistry Brewing,"Bridgman, MI",American Porter,16 oz.,6.5%,35
50,2639.,Dark Star,Big Lake Brewing,"Holland, MI",American Stout,16 oz.,8.0%,54
51,2638.,G. B. Russo’s Italian Pistachio Pale Ale,The Mitten Brewing Company,"Grand Rapids, MI",American Pale Ale (APA),16 oz.,5.2%,N/A
52,2637.,Belfort,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,6.7%,N/A
53,2636.,Star Runner,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,6.0%,N/A
54,2635.,Sparkle,Petoskey Brewing,"Petoskey, MI",American Pale Lager,16 oz.,4.1%,12
55,2634.,Nordskye ,Blackrocks Brewery,"Marquette, MI",American IPA,12 oz.,4.8%,47
56,2633.,Hotbox Brown,Perrin Brewing Company,"Comstock Park, MI",American Brown Ale,12 oz.,5.5%,10
57,2632.,Gold,Perrin Brewing Company,"Comstock Park, MI",American Blonde Ale,12 oz.,4.8%,15
58,2631.,Black,Perrin Brewing Company,"Comstock Park, MI",American Black Ale,12 oz.,5.8%,N/A
59,2630.,98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,6.5%,65
60,2629.,Veteran’s Pale Ale (VPA),Perrin Brewing Company,"Comstock Park, MI",American Pale Ale (APA),12 oz.,5.0%,40
61,2628.,Grapefruit IPA,Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,5.0%,35
62,2627.,Train Hopper,Witch's Hat Brewing Company,"South Lyon, MI",American IPA,12 oz.,5.8%,72
63,2626.,Edward’s Portly Brown,Witch's Hat Brewing Company,"South Lyon, MI",American Brown Ale,12 oz.,4.5%,N/A
64,2625.,Dirty Bastard,Founders Brewing Company,"Grand Rapids, MI",Scotch Ale / Wee Heavy,12 oz.,8.5%,50
65,2624.,Deflator,Flat 12 Bierwerks,"Indianapolis, IN",Doppelbock,16 oz.,6.5%,N/A
66,2623.,Cafe Leche,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.8%,20
67,2622.,Damascene Apricot Sour,Tin Man Brewing Company,"Evansville, IN",Fruit / Vegetable Beer,16 oz.,5.2%,12
68,2621.,Csar,Tin Man Brewing Company,"Evansville, IN",Russian Imperial Stout,16 oz.,12.0%,90
69,2620.,Saucy Intruder,Black Acre Brewing Co.,"Indianapolis, IN",Rye Beer,16 oz.,7.2%,75
70,2619.,Insert Hop Reference,Brew Link Brewing,"Plainfield, IN",American Pale Ale (APA),16 oz.,5.8%,N/A
71,2618.,Thai.p.a,Bare Hands Brewery,"Granger, IN",American IPA,16 oz.,7.0%,46
72,2617.,Citra Faced,Three Pints Brewing,"Martinsville, IN",American Pale Wheat Ale,16 oz.,5.5%,64
73,2616.,Pole Barn Stout,Three Pints Brewing,"Martinsville, IN",Oatmeal Stout,16 oz.,5.5%,31
74,2615.,Pale,Three Pints Brewing,"Martinsville, IN",American Pale Ale (APA),16 oz.,5.4%,37
75,2614.,Yoshi's Nectar,Three Pints Brewing,"Martinsville, IN",California Common / Steam Beer,16 oz.,5.3%,27
76,2613.,Feel Like Maplin' Love,Four Fathers Brewing ,"Valparaiso, IN",Oatmeal Stout,16 oz.,5.5%,N/A
77,2612.,Father's Beer,Four Fathers Brewing ,"Valparaiso, IN",Belgian Pale Ale,16 oz.,5.0%,N/A
78,2611.,The 26th,Four Fathers Brewing ,"Valparaiso, IN",American IPA,16 oz.,6.0%,N/A
79,2610.,The Gadget,Four Fathers Brewing ,"Valparaiso, IN",American IPA,16 oz.,6.4%,90
80,2609.,Tribute,Indiana City Brewing,"Indianapolis, IN",American Pale Ale (APA),12 oz.,5.8%,58
81,2608.,Wrath of Pele,Burn 'Em Brewing,"Michigan City, IN",American Brown Ale,16 oz.,6.5%,N/A
82,2607.,Black Beer'd,Burn 'Em Brewing,"Michigan City, IN",American Black Ale,16 oz.,6.8%,N/A
83,2606.,Mr. Tea,Burn 'Em Brewing,"Michigan City, IN",Fruit / Vegetable Beer,24 oz.,7.8%,N/A
84,2605.,Tip Off,Sun King Brewing Company,"Indianapolis, IN",Altbier,16 oz.,5.2%,29
85,2604.,Blonde Czich,Evil Czech Brewery,"Mishawaka, IN",American Blonde Ale,16 oz.,4.9%,23
86,2603.,Galaxyfest,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,6.5%,N/A
87,2602.,Citrafest,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,5.0%,45
88,2601.,Deduction,Taxman Brewing Company,"Bargersville, IN",Dubbel,12 oz.,8.0%,22
89,2600.,Gone A-Rye,Cedar Creek Brewery,"Seven Points, TX",American Double / Imperial IPA,16 oz.,8.5%,90
90,2599.,Sex Panther,SanTan Brewing Company,"Chandler, AZ",American Porter,12 oz.,6.9%,20
91,2598.,Tart Side of the Barrel,Brewery Vivant,"Grand Rapids, MI",American Double / Imperial Stout,16 oz.,9.8%,N/A
92,2597.,Linnaeus Mango IPA,Brewery Vivant,"Grand Rapids, MI",American IPA,16 oz.,6.0%,N/A
93,2596.,Heavy Lifting,Boulevard Brewing Company,"Kansas City, MO",American IPA,12 oz.,6.2%,80
94,2595.,Bastian,James Page Brewing Company,"Stevens Point, WI",American Strong Ale,12 oz.,???,N/A
95,2594.,Surfrider,The Dudes' Brewing Company,"Torrance, CA",American Pale Ale (APA),16 oz.,5.2%,35
96,2593.,Grapefruit Sculpin,Ballast Point Brewing Company,"San Diego, CA",American IPA,12 oz.,7.0%,N/A
97,2592.,Liberty Ale,Anchor Brewing Company,"San Francisco, CA",American IPA,12 oz,5.9%,N/A
98,2591.,Weiss Weiss Baby,Figueroa Mountain Brewing Company,"Buellton, CA",Kristalweizen,12 oz.,4.5%,N/A
99,2590.,Czech Yo Self,Figueroa Mountain Brewing Company,"Buellton, CA",Czech Pilsener,12 oz.,5.5%,45
100,2589.,Raja,Avery Brewing Company,"Boulder, CO",American Double / Imperial IPA,12 oz.,8.0%,N/A
101,2588.,Cow Creek,Twisted X Brewing Company,"Dripping Springs, TX",American Amber / Red Lager,12 oz.,5.4%,26
102,2587.,Vanilla Porter,Gonzo's BiggDogg Brewing,"Kalamazoo, MI",American Porter,16 oz.,7.0%,11
103,2586.,Blueberry Blonde,Big Muddy Brewing,"Murphysboro, IL",Fruit / Vegetable Beer,12 oz.,6.0%,N/A
104,2585.,Galaxy IPA,Big Muddy Brewing,"Murphysboro, IL",American IPA,16 oz.,7.5%,60
105,2584.,Gose,Lost Nation Brewing,"East Fairfield, VT",Gose,16 oz.,4.6%,8
106,2583.,Vermont Pilsner,Lost Nation Brewing,"East Fairfield, VT",German Pilsener,16 oz.,4.8%,20
107,2582.,Mosaic Single Hop IPA,Lost Nation Brewing,"East Fairfield, VT",American IPA,16 oz.,5.5%,N/A
108,2581.,Lost Galaxy,Lost Nation Brewing,"East Fairfield, VT",American IPA,16 oz.,4.5%,N/A
109,2580.,Gose,Rising Tide Brewing Company,"Portland, ME",Gose,16 oz.,3.5%,N/A
110,2579.,Jah Mon,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,5.0%,100
111,2578.,IPA,Anchor Brewing Company,"San Francisco, CA",American IPA,12 oz.,6.5%,N/A
112,2577.,Summer Wheat,Anchor Brewing Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.5%,N/A
113,2576.,Fist City,Revolution Brewing Company,"Chicago, IL",American Pale Ale (APA),12 oz.,5.5%,40
114,2575.,Wooden Rooster,Tallgrass Brewing Company,"Manhattan, KS",Tripel,16.9 oz.,8.5%,34
115,2574.,4Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,10.0%,52
116,2573.,Raspberry Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.5%,N/A
117,2572.,Hop Session,White Birch Brewing,"Hooksett, NH",American IPA,12 oz.,5.0%,N/A
118,2571.,Blueberry Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.5%,N/A
119,2570.,Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.5%,N/A
120,2569.,Easy Jack,Firestone Walker Brewing Company,"Paso Robles, CA",American IPA,12 oz.,4.5%,47
121,2568.,Take Two Pils,SweetWater Brewing Company,"Atlanta, GA",German Pilsener,12 oz.,5.5%,35
122,2567.,Flying Mouse 8,Flying Mouse Brewery,"Troutville, VA",American Porter,12 oz.,4.0%,N/A
123,2566.,Flying Mouse 4,Flying Mouse Brewery,"Troutville, VA",American IPA,12 oz. ,7.0%,70
124,2565.,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Upslope Brewing Company,"Boulder, CO",Quadrupel (Quad),19.2 oz.,12.8%,N/A
125,2564.,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,Upslope Brewing Company,"Boulder, CO",Rye Beer,19.2 oz.,10.4%,N/A
126,2563.,Lee Hill Series Vol. 2 - Wild Saison,Upslope Brewing Company,"Boulder, CO",American Wild Ale,19.2 oz.,6.8%,24
127,2562.,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,Upslope Brewing Company,"Boulder, CO",American Double / Imperial Stout,19.2 oz.,9.9%,51
128,2561.,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,Upslope Brewing Company,"Boulder, CO",American Brown Ale,19.2 oz.,7.6%,N/A
129,2560.,Blood Orange Saison,Upslope Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz. ,6.0%,N/A
130,2559.,Blood of the Unicorn,Pipeworks Brewing Company,"Chicago, IL",American Amber / Red Ale,16 oz.,6.5%,N/A
131,2558.,Moar,Bent Brewstillery,"Roseville, MN",English India Pale Ale (IPA),12 oz.,4.4%,44
132,2557.,Uber Lupin Schwarz IPA,Bent Brewstillery,"Roseville, MN",American Double / Imperial IPA,16 oz.,8.3%,N/A
133,2556.,Nordic Blonde,Bent Brewstillery,"Roseville, MN",American Blonde Ale,12 oz.,5.7%,27
134,2555.,Ginger Peach Saison,Tallgrass Brewing Company,"Manhattan, KS",Saison / Farmhouse Ale,16 oz.,4.8%,20
135,2554.,Moped Traveler,Flesk Brewing Company,"Lombard, IL",American Pale Ale (APA),16 oz.,5.5%,N/A
136,2553.,Mazzie,Pollyanna Brewing Company,"Lemont, IL",American Pale Ale (APA),12 oz.,5.4%,45
137,2552.,Painted Turtle,BuckleDown Brewing,"Lyons, IL",American Pale Ale (APA),12 oz.,4.5%,N/A
138,2551.,Waterkeeper,SweetWater Brewing Company,"Atlanta, GA",Hefeweizen,12 oz.,5.7%,N/A
139,2550.,Weissenheimer,Destihl Brewery,"Bloomington, IL",Hefeweizen,12 oz.,5.2%,16
140,2549.,Make It So,Summit Brewing Company,"St. Paul, MN",Extra Special / Strong Bitter (ESB),12 oz.,5.3%,40
141,2548.,Beasts A'Burnin',Brewery Vivant,"Grand Rapids, MI",Rauchbier,16 oz.,7.0%,N/A
142,2547.,Beach Cruiser,Latitude 42 Brewing Company,"Portage, MI",Hefeweizen,12 oz.,4.5%,N/A
143,2546.,Perzik Saison,Avery Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz.,6.4%,N/A
144,2545.,Passion Fruit Prussia,4 Hands Brewing Company,"Saint Louis, MO",Berliner Weissbier,12 oz.,3.5%,11
145,2544.,Send Help,4 Hands Brewing Company,"Saint Louis, MO",American Blonde Ale,12 oz.,4.5%,18
146,2543.,Todd the Axe Man,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.2%,N/A
147,2542.,Verdun,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,7.7%,N/A
148,2541.,Barrel Aged Triomphe,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.5%,N/A
149,2540.,Citra Ass Down,Against The Grain Brewery,"Louisville, KY",American IPA,16 oz.,8.2%,68
150,2539.,The Brown Note,Against The Grain Brewery,"Louisville, KY",American Brown Ale,16 oz.,5.0%,20
151,2538.,Neomexicanus Native,Crazy Mountain Brewing Company,"Edwards, CO",American Pale Ale (APA),12 oz.,6.0%,46
152,2537.,Monkey Dancing On A Razor Blade,SlapShot Brewing Company,"Chicago, IL",Belgian IPA,24 oz.,8.5%,N/A
153,2536.,Tripel Deke,SlapShot Brewing Company,"Chicago, IL",Tripel,24 oz.,8.2%,N/A
154,2535.,Vinyl Frontier,Mikerphone Brewing,"Chicago, IL",American Double / Imperial IPA,24 oz.,8.3%,N/A
155,2534.,Disco Superfly,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,8.0%,N/A
156,2533.,Misty Mountain Hop,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,7.5%,N/A
157,2532.,One-Hit Wonderful,Mikerphone Brewing,"Chicago, IL",Belgian IPA,24 oz.,7.5%,N/A
158,2531.,En Parfaite Harmonie,Mikerphone Brewing,"Chicago, IL",Saison / Farmhouse Ale,24 oz.,6.5%,N/A
159,2530.,Daft Funk,Mikerphone Brewing,"Chicago, IL",Berliner Weissbier,24 oz.,4.3%,8
160,2529.,Love In An Ellavator,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,7.5%,N/A
161,2528.,Spin Doctor,Mikerphone Brewing,"Chicago, IL",American Pale Ale (APA),24 oz.,5.3%,N/A
162,2527.,OktoberFiesta,Freetail Brewing Company,"San Antonio, TX",,12 oz.,5.3%,27
163,2526.,Texicali ,Freetail Brewing Company,"San Antonio, TX",American Brown Ale,12 oz.,6.5%,33
164,2525.,Pinata Protest,Freetail Brewing Company,"San Antonio, TX",Witbier,12 oz.,6.0%,N/A
165,2524.,Bat Outta Helles,Freetail Brewing Company,"San Antonio, TX",Munich Helles Lager,12 oz.,4.2%,20
166,2523.,Original,Freetail Brewing Company,"San Antonio, TX",American Amber / Red Ale,12 oz.,6.8%,N/A
167,2522.,Rye Wit,Freetail Brewing Company,"San Antonio, TX",Witbier,12 oz.,4.2%,10
168,2521.,Soul Doubt,Freetail Brewing Company,"San Antonio, TX",American IPA,12 oz.,5.9%,70
169,2520.,Yo Soy Un Berliner,Freetail Brewing Company,"San Antonio, TX",Berliner Weissbier,12 oz.,4.4%,5
170,2519.,Bimini Twist,3 Daughters Brewing,"St Petersburg, FL",American IPA,12 oz.,7.0%,82
171,2518.,Beach Blonde,3 Daughters Brewing,"St Petersburg, FL",American Blonde Ale,12 oz.,5.0%,N/A
172,2517.,Rod Bender Red,3 Daughters Brewing,"St Petersburg, FL",American Amber / Red Ale,12 oz.,5.9%,N/A
173,2516.,Farmer's Daughter Blonde,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American Blonde Ale,16 oz.,5.1%,17
174,2515.,Pump House IPA,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American IPA,16 oz.,5.5%,45
175,2514.,Suicide Blonde IPA,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",Belgian IPA,16 oz.,7.0%,N/A
176,2513.,Vanilla Porter,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American Porter,16 oz.,4.7%,25
177,2512.,Honey Rye,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",Rye Beer,16 oz.,5.8%,18
178,2511.,Long Leaf,Appalachian Mountain Brewery,"Boone, NC",American IPA,16 oz.,7.1%,75
179,2510.,Honey Badger Blonde,Appalachian Mountain Brewery,"Boone, NC",American Blonde Ale,16 oz.,4.7%,19
180,2509.,Porter (a/k/a Black Gold Porter),Appalachian Mountain Brewery,"Boone, NC",American Porter,16 oz.,6.0%,23
181,2508.,Jalapeno Pale Ale,Birdsong Brewing Company,"Charlotte, NC",American Pale Ale (APA),16 oz.,5.5%,45
182,2507.,Double Duckpin,Union Craft Brewing,"Baltimore, MD",American Double / Imperial IPA,12 oz.,8.5%,90
183,2506.,Old Pro,Union Craft Brewing,"Baltimore, MD",Gose,12 oz.,4.2%,10
184,2505.,Abbey's Single (2015- ),Destihl Brewery,"Bloomington, IL",Abbey Single Ale,12 oz.,4.9%,22
185,2504.,Cherry Doppelbock,Brewery Vivant,"Grand Rapids, MI",Doppelbock,16 oz.,6.5%,N/A
186,2503.,Hop A-Peel,Atwater Brewery,"Detroit, MI",American Double / Imperial IPA,16 oz.,7.5%,115
187,2502.,Vanilla Java Porter,Atwater Brewery,"Detroit, MI",American Porter,16 oz.,5.5%,12
188,2501.,Hopalicious,Ale Asylum,"Madison, WI",American Pale Ale (APA),12 oz.,5.7%,N/A
189,2500.,Tropical Saison,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,6.5%,N/A
190,2499.,Beach Patrol,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,6.5%,N/A
191,2498.,Nuit Serpent,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,5.0%,N/A
192,2497.,Wobble,Two Brothers Brewing Company,"Warrenville, IL",American IPA,16 oz.,6.3%,69
193,2496.,Cold Press,Bent Paddle Brewing Company,"Duluth, MN",American Black Ale,12 oz.,6.0%,N/A
194,2495.,Michelada,Atwater Brewery,"Detroit, MI",Fruit / Vegetable Beer,16 oz.,5.2%,N/A
195,2494.,Oberon,Bell's Brewery,"Kalamazoo, MI",American Pale Wheat Ale,12 OZ.,5.8%,N/A
196,2493.,I.P. Eh!,Latitude 42 Brewing Company,"Portage, MI",American IPA,12 oz.,6.8%,N/A
197,2492.,Schoolhouse Honey,Latitude 42 Brewing Company,"Portage, MI",American Amber / Red Ale,12 oz.,5.0%,N/A
198,2491.,10 Degrees of Separation,Latitude 42 Brewing Company,"Portage, MI",English Brown Ale,12 oz.,5.5%,N/A
199,2490.,Professor Black,Blue Owl Brewing,"Austin, TX",American Stout,12 oz. ,???,N/A
200,2489.,Little Boss,Blue Owl Brewing,"Austin, TX",American Pale Wheat Ale,12 oz. ,???,N/A
201,2488.,Van Dayum!,Blue Owl Brewing,"Austin, TX",American Amber / Red Ale,12 oz.,???,N/A
202,2487.,Spirit Animal,Blue Owl Brewing,"Austin, TX",American Pale Ale (APA),12 oz.,???,N/A
203,2486.,Baby Daddy Session IPA,Speakasy Ales & Lagers,"San Francisco, CA",American IPA,12 oz.,4.7%,35
204,2485.,Saddle Bronc Brown Ale,Black Tooth Brewing Company,"Sheridan, WY",American Brown Ale,12 oz. ,4.8%,16
205,2484.,Bomber Mountain Amber Ale,Black Tooth Brewing Company,"Sheridan, WY",American Amber / Red Ale,12 oz.,4.6%,20
206,2483.,Hard Cider,Hopworks Urban Brewery,"Portland, OR",Cider,16 oz.,6.8%,N/A
207,2482.,Totally Radler,Hopworks Urban Brewery,"Portland, OR",Radler,16 oz.,2.7%,21
208,2481.,Paris,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,9.0%,N/A
209,2480.,Healani,James Page Brewing Company,"Stevens Point, WI",Hefeweizen,12 oz.,4.5%,N/A
210,2479.,Jammer,Sixpoint Craft Ales,"Brooklyn, NY",Gose,12 oz. Slimline,4.2%,16
211,2478.,Pale Alement,Burn 'Em Brewing,"Michigan City, IN",American Pale Ale (APA),12 oz.,5.5%,40
212,2477.,Lil' Brainless Raspberries,Epic Brewing,"Denver, CO",Fruit / Vegetable Beer,12 oz.,5.2%,N/A
213,2476.,The Grand Army,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,5.5%,N/A
214,2475.,Slow Ride,New Belgium Brewing Company,"Fort Collins, CO",American IPA,12 oz.,4.5%,40
215,2474.,Nooner,Sierra Nevada Brewing Company,"Chico, CA",German Pilsener,12 oz.,5.2%,N/A
216,2473.,Hopvale Organic Ale,Summit Brewing Company,"St. Paul, MN",American Pale Ale (APA),16 oz.,4.7%,55
217,2472.,U. P. Witbier,Keweenaw Brewing Company,"Houghton, MI",Witbier,12 oz.,???,N/A
218,2471.,Hopkick Dropkick,Burn 'Em Brewing,"Michigan City, IN",American Double / Imperial IPA,12 oz.,9.9%,115
219,2470.,Kreamed Corn,Burn 'Em Brewing,"Michigan City, IN",Cream Ale,12 oz.,6.0%,N/A
220,2469.,Ryecoe,Big Lake Brewing,"Holland, MI",American IPA,16 oz.,6.2%,N/A
221,2468.,Manitou Amber,Brewery Terra Firma,"Traverse City, MI",American Amber / Red Ale,16 oz.,5.3%,N/A
222,2467.,Acidulated Trip,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,5.9%,N/A
223,2466.,Root Stock,Brewery Vivant,"Grand Rapids, MI",Rye Beer,16 oz.,6.6%,N/A
224,2465.,Mind Games,Brewery Vivant,"Grand Rapids, MI",Dunkelweizen,16 oz.,4.1%,N/A
225,2464.,Coconoats,Burn 'Em Brewing,"Michigan City, IN",American Pale Wheat Ale,16 oz.,6.5%,N/A
226,2463.,Union Jack,Firestone Walker Brewing Company,"Paso Robles, CA",American IPA,12 oz.,7.5%,75
227,2462.,Pivo Pils,Firestone Walker Brewing Company,"Paso Robles, CA",German Pilsener,12 oz.,5.3%,N/A
228,2461.,Autumn Winds Fest Beer,Grey Sail Brewing Company,"Westerly, RI",Märzen / Oktoberfest,16 oz,5.8%,N/A
229,2460.,India Pale Ale,Kirkwood Station Brewing Company,"Kirkwood, MO",American IPA,16 oz.,6.3%,65
230,2459.,Blackberry Wheat,Kirkwood Station Brewing Company,"Kirkwood, MO",American Pale Wheat Ale,16 oz.,4.8%,11
231,2458.,Chupahopra,Twisted X Brewing Company,"Dripping Springs, TX",American IPA,12 oz.,7.5%,63
232,2457.,312 Urban Pale Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.4%,30
233,2456.,Broad Brook Ale,Broad Brook Brewing LLC,"East Windsor, CT",American Amber / Red Ale,16 oz.,6.1%,N/A
234,2455.,Lionshead,The Lion Brewery,"Wilkes-Barre, PA",American Pilsner,12 oz.,4.5%,N/A
235,2454.,Galaxy High,Madtree Brewing Company,"Cincinnati, OH",American Double / Imperial IPA,12 oz.,9.9%,N/A
236,2453.,Razz Wheat,Jackie O's Pub & Brewery,"Athens, OH",Fruit / Vegetable Beer,12 oz.,5.5%,N/A
